Date,Price,Open,High,Low,Vol.,Change %
25-May-21,38378.30,38753.60,39740.80,36540.70,163.01K,-0.01
24-May-21,38750.60,34720.30,39851.70,34474.60,244.88K,0.12
23-May-21,34679.70,37446.80,38248.70,31192.40,325.73K,-0.07
22-May-21,37448.30,37291.00,38776.00,35314.90,185.83K,0.00
21-May-21,37297.40,40611.20,42108.30,33592.30,315.50K,-0.08
20-May-21,40717.20,36706.80,42425.90,35010.40,269.75K,0.11
19-May-21,36720.50,42898.30,43516.60,30261.70,607.10K,-0.14
18-May-21,42897.30,43538.50,45770.90,42293.90,154.96K,-0.01
17-May-21,43541.30,46424.20,46545.40,42201.50,274.76K,-0.06
16-May-21,46426.40,46729.30,49764.30,43920.80,180.07K,-0.01
15-May-21,46708.80,49839.10,50640.90,46650.20,131.91K,-0.06
14-May-21,49839.80,49704.90,51459.20,48874.00,118.84K,0.00
13-May-21,49704.60,49398.20,51337.30,46331.10,236.71K,0.01
12-May-21,49384.20,56694.50,57938.50,49187.00,160.74K,-0.13
11-May-21,56695.70,55846.10,56871.10,54550.40,96.47K,0.02
10-May-21,55848.90,58251.20,59523.90,53678.30,142.61K,-0.04
9-May-21,58238.30,58840.60,59227.00,56414.40,103.59K,-0.01
8-May-21,58840.10,57330.30,59471.10,56972.20,101.27K,0.03
7-May-21,57337.20,56411.40,58639.30,55300.10,110.01K,0.02
6-May-21,56405.40,57441.00,58364.90,55294.50,109.02K,-0.02
5-May-21,57441.30,53872.50,57936.40,53872.50,119.82K,0.07
4-May-21,53741.50,57170.60,57201.30,53741.50,132.33K,-0.06
3-May-21,57169.80,56605.80,58925.10,56562.40,89.24K,0.01
2-May-21,56603.80,57807.20,57868.40,56110.50,53.61K,-0.02
1-May-21,57807.10,57719.10,58449.40,57029.50,63.41K,0.00
30-Apr-21,57720.30,53562.30,57925.60,53088.70,103.74K,0.08
29-Apr-21,53560.80,54838.60,55173.70,52400.00,83.90K,-0.02
28-Apr-21,54841.40,55036.00,56419.90,53876.40,86.96K,0.00
27-Apr-21,55036.50,54011.10,55427.80,53345.00,84.08K,0.02
26-Apr-21,54020.50,48963.50,54320.90,48815.90,129.76K,0.10
25-Apr-21,48963.60,50088.20,50532.40,47098.50,59.20K,-0.02
24-Apr-21,50088.90,51140.80,51183.00,48775.20,82.25K,-0.02
23-Apr-21,51143.60,51707.10,52099.90,47659.40,214.46K,-0.01
22-Apr-21,51729.50,53821.30,55408.40,50590.90,168.13K,-0.04
21-Apr-21,53820.20,56479.50,56764.40,53657.60,100.26K,-0.05
20-Apr-21,56483.20,55645.10,57054.90,53422.50,115.49K,0.02
19-Apr-21,55646.10,56208.10,57517.00,54272.30,117.51K,-0.01
18-Apr-21,56207.10,60043.20,60362.10,51817.60,216.81K,-0.06
17-Apr-21,60041.90,61358.30,62509.10,59672.10,84.08K,-0.02
16-Apr-21,61379.70,63211.60,63518.50,60027.30,136.85K,-0.03
15-Apr-21,63216.00,62978.60,63729.10,62067.50,76.97K,0.00
14-Apr-21,62980.40,63544.20,64778.00,61366.30,130.43K,-0.01
13-Apr-21,63540.90,59863.60,63659.00,59839.40,126.56K,0.06
12-Apr-21,59863.80,59982.10,61259.90,59569.20,81.88K,0.00
11-Apr-21,59978.70,59772.40,60667.10,59250.30,58.20K,0.00
10-Apr-21,59748.40,58127.40,61229.00,57900.00,103.72K,0.03
9-Apr-21,58118.70,58076.80,58890.90,57686.00,59.22K,0.00
8-Apr-21,58077.40,55948.00,58136.70,55721.60,64.78K,0.04
7-Apr-21,55948.70,57996.30,58627.70,55489.30,110.69K,-0.04
6-Apr-21,57996.30,59169.00,59487.00,57403.30,77.15K,-0.02
5-Apr-21,58993.40,58202.30,59205.10,56842.70,54.13K,0.01
4-Apr-21,58199.90,57059.70,58464.80,56470.60,57.21K,0.02
3-Apr-21,57059.90,58976.80,59770.50,56906.70,68.74K,-0.03
2-Apr-21,58977.30,58718.20,60134.90,58466.50,72.37K,0.00
1-Apr-21,58718.30,58763.20,59406.50,58040.70,69.04K,0.00
31-Mar-21,58763.70,58771.40,59795.60,56991.60,98.06K,0.00
30-Mar-21,58771.30,57614.60,59366.90,57077.10,86.21K,0.02
29-Mar-21,57616.20,55764.70,58392.60,54951.10,107.91K,0.03
28-Mar-21,55765.20,55856.90,56504.20,54711.30,58.71K,0.00
27-Mar-21,55862.90,55033.80,56531.10,54010.20,73.87K,0.02
26-Mar-21,55036.10,51317.40,55074.10,51302.00,100.30K,0.07
25-Mar-21,51322.30,52330.00,53175.40,50441.30,143.35K,-0.02
24-Mar-21,52325.40,54309.10,57169.40,51725.40,137.91K,-0.04
23-Mar-21,54452.50,54117.50,55813.80,52992.30,84.84K,0.01
22-Mar-21,54158.30,57379.30,58379.90,53784.20,95.53K,-0.06
21-Mar-21,57383.80,58097.40,58583.80,55583.30,77.47K,-0.01
20-Mar-21,58093.40,58084.10,59882.10,57863.00,67.83K,0.00
19-Mar-21,58088.00,57645.00,59448.30,56305.10,83.98K,0.01
18-Mar-21,57656.00,58911.80,60088.00,57099.60,102.62K,-0.02
17-Mar-21,58913.50,56892.90,58933.20,54253.20,118.26K,0.04
16-Mar-21,56889.70,55619.50,56889.70,53342.60,128.51K,0.02
15-Mar-21,55791.30,59117.40,60565.90,55088.80,117.71K,-0.06
14-Mar-21,59113.70,61192.70,61673.70,59113.70,80.29K,-0.03
13-Mar-21,61195.30,57267.40,61795.80,56118.80,134.64K,0.07
12-Mar-21,57265.10,57806.20,58052.30,55134.50,116.96K,-0.01
11-Mar-21,57799.50,55851.20,58135.00,54351.80,129.63K,0.03
10-Mar-21,55851.90,54882.70,57328.70,53073.60,140.96K,0.02
9-Mar-21,54879.00,52352.40,54880.60,51941.30,114.06K,0.05
8-Mar-21,52311.00,50988.90,52384.90,49338.10,68.14K,0.03
7-Mar-21,50982.30,48899.00,51434.10,48890.60,82.91K,0.04
6-Mar-21,48855.60,48798.70,49191.80,47132.80,66.66K,0.00
5-Mar-21,48792.50,48363.60,49429.40,46370.10,113.64K,0.01
4-Mar-21,48428.00,50388.00,51757.70,47521.80,9.56K,-0.04
3-Mar-21,50395.10,48422.20,52567.90,48159.20,44.93K,0.04
2-Mar-21,48424.20,49595.60,50191.90,47100.60,102.10K,-0.02
1-Mar-21,49595.50,45160.50,49774.00,45008.80,137.52K,0.10
28-Feb-21,45164.00,46136.00,46582.00,43100.60,135.08K,-0.02
27-Feb-21,46136.70,46333.10,48335.10,45059.40,98.75K,0.00
26-Feb-21,46345.60,46928.50,48413.90,44248.20,189.41K,-0.01
25-Feb-21,46928.50,49695.90,52013.80,46773.70,83.22K,-0.06
24-Feb-21,49697.50,48911.10,51311.80,47031.70,153.75K,0.02
23-Feb-21,48911.20,54114.10,54115.00,45093.80,315.07K,-0.10
22-Feb-21,54111.80,57437.60,57480.80,48353.80,244.95K,-0.06
21-Feb-21,57433.80,55907.60,58335.10,55502.70,87.26K,0.03
